iter	Passed	Remaining
969	19754	610
970	19780	590
971	19828	571
972	19849	550
973	19869	530
974	19921	510
975	19981	491
976	20012	471
977	20031	450
978	20069	430
979	20094	410
980	20110	389
981	20135	369
982	20177	348
983	20214	328
984	20284	308
985	20322	288
986	20351	268
987	20430	248
988	20468	227
989	20515	207
990	20553	186
991	20613	166
992	20639	145
993	20674	124
994	20728	104
995	20753	83
996	20779	62
997	20798	41
998	20821	20
999	20841	0
